higher-education-establishment,name,address,website
10000886,"UNIVERSITY OF BRIGHTON","BN2 4AT",www.brighton.ac.uk
10004113,"LOUGHBOROUGH UNIVERSITY","LE11 3TU",www.lboro.ac.uk
10007833,"GLYNDWR UNIVERSITY","LL11 2AW",www.glyndwr.ac.uk
10007771,"LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE","WC1E 7HT",www.lshtm.ac.uk
10003956,"LIVERPOOL HOPE UNIVERSITY","L16 9JD",www.hope.ac.uk
10007147,"UNIVERSITY OF HERTFORDSHIRE","AL10 9AB",www.herts.ac.uk
10007157,"UNIVERSITY OF SHEFFIELD","S10 2TN",www.shef.ac.uk
10007143,"UNIVERSITY OF DURHAM","DH1 3LE",www.dur.ac.uk
10004797,"NOTTINGHAM TRENT UNIVERSITY","NG1 4BU",www.ntu.ac.uk
10007805,"UNIVERSITY OF STRATHCLYDE","G1 1XQ",www.strath.ac.uk
10007137,"THE UNIVERSITY OF CHICHESTER","PO19 6PE",www.chi.ac.uk
10007764,"HERIOT-WATT UNIVERSITY","EH14 4AS",www.hw.ac.uk
10007769,"LONDON BUSINESS SCHOOL","NW1 4SA",www.london.edu
10006840,"UNIVERSITY OF BIRMINGHAM","B15 2TT",www.birmingham.ac.uk
10007842,"THE UNIVERSITY OF CUMBRIA","CA1 2HH",www.cumbria.ac.uk
10007792,"UNIVERSITY OF EXETER","EX4 4PY",www.exeter.ac.uk
10005790,"SHEFFIELD HALLAM UNIVERSITY","S1 1WB",www.shu.ac.uk
10007852,"UNIVERSITY OF DUNDEE","DD1 4HN",www.dundee.ac.uk
10005700,SRUC,"EH9 3JG",www.sruc.ac.uk
10007776,"ROEHAMPTON UNIVERSITY","SW15 5PJ",www.roehampton.ac.uk
10007159,"UNIVERSITY OF SUNDERLAND","SR1 3SD",www.sunderland.ac.uk
10000291,"ANGLIA RUSKIN UNIVERSITY","CM1 1SQ",www.anglia.ac.uk
10007766,"INSTITUTE OF EDUCATION, UNIVERSITY OF LONDON","WC1H 0AL",www.ioe.ac.uk
10007855,"SWANSEA UNIVERSITY","SA2 8PP",www.swan.ac.uk
10005553,"ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE","TW20 0EX",www.rhul.ac.uk
10007777,"ROYAL COLLEGE OF ART(THE)","SW7 2EU",www.rca.ac.uk
10007822,"CRANFIELD UNIVERSITY","MK43 0AL",www.cranfield.ac.uk
10007767,"UNIVERSITY OF KEELE","ST5 5BG",www.keele.ac.uk
10003863,"LEEDS TRINITY UNIVERSITY","LS18 5HD",www.leedstrinity.ac.uk
10003645,"KING'S COLLEGE LONDON","WC2R 2LS",www.kcl.ac.uk
10007782,"ST. GEORGE'S, UNIVERSITY OF LONDON","SW17 0RE",www.sgul.ac.uk
10004775,"NORWICH UNIVERSITY OF THE ARTS","NR2 4SN",www.nua.ac.uk
10003854,"LEEDS COLLEGE OF ART","LS2 9AQ",www.leeds-art.ac.uk
10007759,"ASTON UNIVERSITY","B4 7ET",www.aston.ac.uk
10007848,"UNIVERSITY OF CHESTER","CH1 4BJ",www.chester.ac.uk
10007783,"UNIVERSITY OF ABERDEEN","AB24 3FX",www.abdn.ac.uk
10007798,"THE UNIVERSITY OF MANCHESTER","M13 9PL",www.manchester.ac.uk
10005561,"ROYAL CONSERVATOIRE OF SCOTLAND","G2 3DB",www.rcs.ac.uk
10007154,"UNIVERSITY OF NOTTINGHAM, THE","NG7 2RD",www.nottingham.ac.uk
10008010,"STRANMILLIS UNIVERSITY COLLEGE","BT9 5DY",www.stran.ac.uk
10007799,"NEWCASTLE UNIVERSITY","NE1 7RU",www.ncl.ac.uk
10007857,"BANGOR UNIVERSITY","LL57 2DG",www.bangor.ac.uk
10037449,"UNIVERSITY OF ST MARK & ST JOHN","PL6 8BH",
10007787,"THE UNIVERSITY OF BUCKINGHAM","MK18 1EG",www.buckingham.ac.uk
10007149,"UNIVERSITY OF HULL","HU6 7RX",www.hull.ac.uk
10007793,"UNIVERSITY OF SOUTH WALES/PRIFYSGOL DE CYMRU","CF37 1DL",www.southwales.ac.uk
10007835,"ROYAL ACADEMY OF MUSIC","NW1 5HT",www.ram.ac.uk
10004048,"LONDON METROPOLITAN UNIVERSITY","N7 8DB",www.londonmet.ac.uk
10007843,"ST MARY'S UNIVERSITY, TWICKENHAM","TW1 4SX",www.smuc.ac.uk
10001143,"CANTERBURY CHRIST CHURCH UNIVERSITY","CT1 1UT",www.canterbury.ac.uk
10001653,"THE CONSERVATOIRE FOR DANCE AND DRAMA","WC1H 9JJ",www.cdd.ac.uk
10007760,"BIRKBECK COLLEGE","WC1E 7HX",www.bbk.ac.uk
10006842,"UNIVERSITY OF LIVERPOOL","L69 3BX",www.liv.ac.uk
10003324,"INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE)","SW7 3RP",www.icr.ac.uk
10007146,"UNIVERSITY OF GREENWICH","SE10 9LS",www.greenwich.ac.uk
10007713,"YORK ST JOHN UNIVERSITY","YO31 7EX",www.yorksj.ac.uk
10007858,"UNIVERSITY OF WALES: TRINITY SAINT DAVID","SA31 3EP",www.trinitysaintdavid.ac.uk
